material_key,display_name,mode,identifier,note,energy_eV,coherent_cm2_g,incoherent_cm2_g,photoelectric_cm2_g,pair_nuclear_cm2_g,pair_electron_cm2_g,mu_rho_total_cm2_g,mu_rho_no_coherent_cm2_g
al,Al,element,Al,aluminium,1000,2.256,0.01427,1183.0,0.0,0.0,1185.0,1183.0
al,Al,element,Al,aluminium,1500,2.04,0.02477,400.2,0.0,0.0,402.3,400.2
al,Al,element,Al,aluminium,2000,1.838,0.03375,2261.0,0.0,0.0,2263.0,2261.0
al,Al,element,Al,aluminium,2500,1.666,0.04109,1285.0,0.0,0.0,1286.0,1285.0
al,Al,element,Al,aluminium,3000,1.523,0.04732,786.5,0.0,0.0,788.1,786.6
al,Al,element,Al,aluminium,3500,1.401,0.0529,517.8,0.0,0.0,519.2,517.8
al,Al,element,Al,aluminium,4000,1.295,0.0581,359.1,0.0,0.0,360.5,359.2
al,Al,element,Al,aluminium,4500,1.201,0.06308,258.7,0.0,0.0,260.0,258.8
al,Al,element,Al,aluminium,5000,1.116,0.06787,192.2,0.0,0.0,193.4,192.3
al,Al,element,Al,aluminium,5500,1.037,0.0725,146.6,0.0,0.0,147.7,146.7
al,Al,element,Al,aluminium,6000,0.9638,0.07696,114.3,0.0,0.0,115.3,114.3
al,Al,element,Al,aluminium,6500,0.8961,0.08123,90.71,0.0,0.0,91.68,90.79
al,Al,element,Al,aluminium,7000,0.8336,0.08532,73.16,0.0,0.0,74.08,73.24
al,Al,element,Al,aluminium,7500,0.776,0.08921,59.82,0.0,0.0,60.69,59.91
al,Al,element,Al,aluminium,8000,0.7229,0.09292,49.5,0.0,0.0,50.32,49.6
al,Al,element,Al,aluminium,8500,0.6742,0.09642,41.41,0.0,0.0,42.18,41.5
al,Al,element,Al,aluminium,9000,0.6295,0.09974,34.96,0.0,0.0,35.69,35.06
al,Al,element,Al,aluminium,9500,0.5886,0.1029,29.78,0.0,0.0,30.47,29.88
al,Al,element,Al,aluminium,10000,0.5513,0.1058,25.56,0.0,0.0,26.21,25.66
al,Al,element,Al,aluminium,10500,0.5172,0.1085,22.09,0.0,0.0,22.71,22.2
al,Al,element,Al,aluminium,11000,0.486,0.1111,19.22,0.0,0.0,19.81,19.33
al,Al,element,Al,aluminium,11500,0.4575,0.1135,16.81,0.0,0.0,17.38,16.93
al,Al,element,Al,aluminium,12000,0.4314,0.1158,14.79,0.0,0.0,15.34,14.91
cu,Cu,element,Cu,copper,1000,5.054,0.005914,10570.0,0.0,0.0,10570.0,10570.0
cu,Cu,element,Cu,copper,1500,4.806,0.01086,4413.0,0.0,0.0,4418.0,4413.0
cu,Cu,element,Cu,copper,2000,4.525,0.01591,2149.0,0.0,0.0,2154.0,2149.0
cu,Cu,element,Cu,copper,2500,4.235,0.02094,1200.0,0.0,0.0,1204.0,1200.0
cu,Cu,element,Cu,copper,3000,3.946,0.02587,744.9,0.0,0.0,748.8,744.9
cu,Cu,element,Cu,copper,3500,3.666,0.03066,492.3,0.0,0.0,496.0,492.3
cu,Cu,element,Cu,copper,4000,3.399,0.03527,343.9,0.0,0.0,347.3,343.9
cu,Cu,element,Cu,copper,4500,3.148,0.03969,249.3,0.0,0.0,252.5,249.4
cu,Cu,element,Cu,copper,5000,2.914,0.04391,187.0,0.0,0.0,189.9,187.0
cu,Cu,element,Cu,copper,5500,2.698,0.04794,143.7,0.0,0.0,146.5,143.8
cu,Cu,element,Cu,copper,6000,2.5,0.05181,113.1,0.0,0.0,115.6,113.1
cu,Cu,element,Cu,copper,6500,2.319,0.05552,90.41,0.0,0.0,92.78,90.46
cu,Cu,element,Cu,copper,7000,2.154,0.05906,73.5,0.0,0.0,75.71,73.56
cu,Cu,element,Cu,copper,7500,2.005,0.06245,60.62,0.0,0.0,62.68,60.68
cu,Cu,element,Cu,copper,8000,1.872,0.06569,50.62,0.0,0.0,52.55,50.68
cu,Cu,element,Cu,copper,8500,1.751,0.06878,42.67,0.0,0.0,44.49,42.74
cu,Cu,element,Cu,copper,9000,1.642,0.07174,275.1,0.0,0.0,276.8,275.2
cu,Cu,element,Cu,copper,9500,1.541,0.07456,242.4,0.0,0.0,244.0,242.5
cu,Cu,element,Cu,copper,10000,1.45,0.07725,214.5,0.0,0.0,216.0,214.5
cu,Cu,element,Cu,copper,10500,1.367,0.07981,190.1,0.0,0.0,191.6,190.2
cu,Cu,element,Cu,copper,11000,1.292,0.08223,168.9,0.0,0.0,170.3,169.0
cu,Cu,element,Cu,copper,11500,1.224,0.08453,150.5,0.0,0.0,151.8,150.6
cu,Cu,element,Cu,copper,12000,1.162,0.08671,134.4,0.0,0.0,135.7,134.5
fe,Fe,element,Fe,iron,1000,4.537,0.008777,9081.0,0.0,0.0,9085.0,9081.0
fe,Fe,element,Fe,iron,1500,4.241,0.0153,3396.0,0.0,0.0,3400.0,3396.0
fe,Fe,element,Fe,iron,2000,3.933,0.02124,1623.0,0.0,0.0,1627.0,1623.0
fe,Fe,element,Fe,iron,2500,3.634,0.02676,898.5,0.0,0.0,902.2,898.5
fe,Fe,element,Fe,iron,3000,3.354,0.03206,554.3,0.0,0.0,557.6,554.3
fe,Fe,element,Fe,iron,3500,3.092,0.03719,364.7,0.0,0.0,367.9,364.8
fe,Fe,element,Fe,iron,4000,2.849,0.04212,253.8,0.0,0.0,256.7,253.9
fe,Fe,element,Fe,iron,4500,2.625,0.04684,183.6,0.0,0.0,186.2,183.6
fe,Fe,element,Fe,iron,5000,2.421,0.05133,137.4,0.0,0.0,139.9,137.4
fe,Fe,element,Fe,iron,5500,2.235,0.0556,105.4,0.0,0.0,107.7,105.4
fe,Fe,element,Fe,iron,6000,2.065,0.05966,82.72,0.0,0.0,84.84,82.78
fe,Fe,element,Fe,iron,6500,1.911,0.06353,66.11,0.0,0.0,68.08,66.17
fe,Fe,element,Fe,iron,7000,1.773,0.06721,53.72,0.0,0.0,55.56,53.79
fe,Fe,element,Fe,iron,7500,1.651,0.07067,356.6,0.0,0.0,358.4,356.7
fe,Fe,element,Fe,iron,8000,1.542,0.07395,304.0,0.0,0.0,305.6,304.1
fe,Fe,element,Fe,iron,8500,1.443,0.07706,260.4,0.0,0.0,262.0,260.5
fe,Fe,element,Fe,iron,9000,1.354,0.08001,224.3,0.0,0.0,225.7,224.4
fe,Fe,element,Fe,iron,9500,1.274,0.08279,194.3,0.0,0.0,195.7,194.4
fe,Fe,element,Fe,iron,10000,1.201,0.08541,169.4,0.0,0.0,170.7,169.5
fe,Fe,element,Fe,iron,10500,1.136,0.08788,148.6,0.0,0.0,149.8,148.7
fe,Fe,element,Fe,iron,11000,1.076,0.0902,131.1,0.0,0.0,132.3,131.2
fe,Fe,element,Fe,iron,11500,1.022,0.09238,116.3,0.0,0.0,117.4,116.4
fe,Fe,element,Fe,iron,12000,0.9729,0.09445,103.6,0.0,0.0,104.7,103.7
si,Si,element,Si,silicon,1000,2.528,0.01317,1567.0,0.0,0.0,1570.0,1567.0
si,Si,element,Si,silicon,1500,2.286,0.02393,533.3,0.0,0.0,535.6,533.3
si,Si,element,Si,silicon,2000,2.048,0.03388,2775.0,0.0,0.0,2777.0,2775.0
